gene,coefficient,direction
POU5F1,1.1630299444187342,positive
ROPN1B,0.13248033585011035,positive
ROPN1,0.053324569713604844,positive
SIDT1,0.0,positive
RND1,0.0,positive
TBC1D9,0.0,positive
GPR77,0.0,positive
LOC100127888,0.0,positive
EN1,0.0,positive
TPX2,0.0,positive
RNF103,0.0,positive
ZNF552,0.0,positive
INPP4B,0.0,positive
TSPAN15,0.0,positive
MLPH,0.0,positive
CHODL,0.0,positive
FOXC1,0.0,positive
AURKB,0.0,positive
MAGED2,0.0,positive
GABRP,0.0,positive
SLC4A8,-0.2547238402936944,negative
GPR160,-0.1599022534880194,negative
C17orf28,0.0,negative
LOC145837,0.0,negative
CENPA,0.0,negative
AMY1A,0.0,negative
PSAT1,0.0,negative
BCL11A,0.0,negative
SPDEF,0.0,negative
TFF3,0.0,negative
LEMD1,0.0,negative
DACH1,0.0,negative
L3MBTL4,0.0,negative
DLX6AS,0.0,negative
C5orf36,0.0,negative
IL34,0.0,negative
PM20D2,0.0,negative
RAB17,0.0,negative
TMBIM6,0.0,negative
TBX19,0.0,negative
