gene,coefficient,direction
XBP1,0.5898285077988421,positive
C5orf36,0.22941920489378423,positive
DSG1,0.22313671565339901,positive
ZNF552,0.20589553948153302,positive
GABRP,0.08539061468933852,positive
TMBIM6,0.060264573994222324,positive
GPR77,0.0,positive
SIDT1,0.0,positive
RND1,0.0,positive
TBC1D9,0.0,positive
RNF103,0.0,positive
TPX2,0.0,positive
FOXC1,0.0,positive
AGR2,0.0,positive
MLPH,0.0,positive
CHODL,0.0,positive
AGR3,0.0,positive
MAGED2,0.0,positive
TSPAN15,0.0,positive
LOC100127888,0.0,positive
CEP55,-1.952954205735843,negative
CENPA,-0.5987141601211062,negative
EN1,-0.528430211339873,negative
AURKB,-0.2554704919163476,negative
BCL11A,0.0,negative
C17orf28,0.0,negative
PSAT1,0.0,negative
LOC145837,0.0,negative
L3MBTL4,0.0,negative
TFF3,0.0,negative
LEMD1,0.0,negative
DACH1,0.0,negative
ROPN1B,0.0,negative
AMY1A,0.0,negative
IL34,0.0,negative
SPDEF,0.0,negative
C9orf152,0.0,negative
RAB17,0.0,negative
POU5F1,0.0,negative
TBX19,0.0,negative
