gene,coefficient,direction
RNF103,0.65404292673602,positive
CENPA,0.43381315771173445,positive
GPR77,0.29730062558503895,positive
TPX2,0.27790417397850514,positive
SLC44A4,0.06599531107550348,positive
SKA1,0.028573799023540968,positive
SIDT1,0.0,positive
TBC1D9,0.0,positive
RND1,0.0,positive
MAGED2,0.0,positive
ZNF552,0.0,positive
EN1,0.0,positive
FOXC1,0.0,positive
TSPAN15,0.0,positive
MLPH,0.0,positive
CHODL,0.0,positive
AGR3,0.0,positive
AURKB,0.0,positive
GABRP,0.0,positive
INPP4B,0.0,positive
PPP1R14C,-1.8092972345937943,negative
DSG1,-1.5339340562607024,negative
LOC100127888,-1.2761041950192487,negative
PM20D2,-0.5768243886452735,negative
AMY1A,0.0,negative
C5orf36,0.0,negative
C17orf28,0.0,negative
LOC145837,0.0,negative
L3MBTL4,0.0,negative
TFF3,0.0,negative
LEMD1,0.0,negative
DACH1,0.0,negative
ROPN1B,0.0,negative
DLX6AS,0.0,negative
PSAT1,0.0,negative
BCL11A,0.0,negative
ZNF454,0.0,negative
FOXA1,0.0,negative
ACADSB,0.0,negative
RAB17,0.0,negative
